Skills,Developer,Permission,Traceability,Category,sub-category,Account Linking,customer reviews,Rating,Cost
Uber,"by Uber Technologies, Inc.","['Device Address', 'Location Services']",c,Travel & Transportation,Taxi & Ridesharing,Account linking required,No customer reviews,,Free to Enable
The Pedowitz Group,by Jordan Pizza,['Email Address'],c,Utilities,Alarms & Clocks,,,2.9 out of 5 stars,Free to Enable
Any.do,by Any.DO Inc,"['Lists Read Access', 'Lists Write Access']",c,Utilities,Calendars & Reminders,,,5.0 out of 5 stars,Free to Enable
Election Reminders,by Dylan Rush,"['Device Country and Postal Code', 'Reminders']",c,Utilities,Calendars & Reminders,Account linking available,,3.5 out of 5 stars,Free to Enable
IEEE Conference Suggester,by IEEE,['Device Address'],c,Utilities,Calendars & Reminders,,No customer reviews,5.0 out of 5 stars,Free to Enable
New York City Garbage and Recycling Pickup,by Reuel Alvarez,['Device Address'],c,Utilities,Calendars & Reminders,,,5.0 out of 5 stars,Free to Enable
Find My Phone,by Pavel Litvinko,['Mobile Number'],c,Utilities,Device Tracking,,No customer reviews,,Free to Enable
Location Family Tracker,by Andrey Dyachkov,['Device Address'],c,Utilities,Device Tracking,Account linking available,No customer reviews,,Free to Enable
Electric Cost Finder,by Swaff Industries,['Device Country and Postal Code'],c,Utilities,Zip Code Lookup,,,2.1 out of 5 stars,
Air Guru,by Chris Smith,['Device Country and Postal Code'],c,Weather,Weather,,No customer reviews,5.0 out of 5 stars,Free to Enable
Air Quality,by Harri Hytonen,"['Lists Read Access', 'Lists Write Access']",c,Weather,Weather,,No customer reviews,5.0 out of 5 stars,Free to Enable
AllisonHouse,by Ryan Hickman,['Device Address'],c,Weather,Weather,,No customer reviews,,Free to Enable
Better Weather,by Really Good Smarts LLC,['Device Country and Postal Code'],c,Weather,Weather,,No customer reviews,,Free to Enable
ClimaCell,by Climacell,"['Device Address', 'Email Address']",c,Weather,Weather,,No customer reviews,4.4 out of 5 stars,Free to Enable
Cool My House,by Nibroc Productions,['Device Country and Postal Code'],c,Weather,Weather,,,3.7 out of 5 stars,Free to Enable
Daily UV Index,by KaYanPepper,['Device Country and Postal Code'],c,Weather,Weather,,,2.1 out of 5 stars,Free to Enable
Do I Have To Put On Pants,by Christopher A. DeFlumeri,['Device Country and Postal Code'],c,Weather,Weather,,No customer reviews,,Free to Enable
Dress Right,by Alleylight Studios,"['Device Country and Postal Code', 'Mobile Number']",c,Weather,Weather,,No customer reviews,,Free to Enable
Drone Weather,by Eden Agency Ltd,"['Device Country and Postcode', 'Location Services']",c,Weather,Weather,,No customer reviews,,Free to Enable
How's the Weather?,"by Jeybee, LLC",['Device Address'],c,Weather,Weather,,No customer reviews,,Free to Enable
Humidity,by Kevin Sullivan,['Device Country and Postal Code'],c,Weather,Weather,,,3.1 out of 5 stars,Free to Enable
Hurricane Alerts by American Red Cross,by American Red Cross,"['Device Address', 'Alexa Notifications']",c,Weather,Weather,Account linking required,No customer reviews,,Free to Enable
Just The Temperature,by HAACKR LLC,"['Device Country and Postal Code', 'Location Services']",c,Weather,Weather,Account linking required,No customer reviews,,Free to Enable
Just The Temperature,by Ryan Haack,['Device Country and Postal Code'],c,Weather,Weather,Account linking required,No customer reviews,,Free to Enable
My Weather,by Harri Hytonen,"['Lists Read Access', 'Lists Write Access']",c,Weather,Weather,,No customer reviews,,Free to Enable
Radar Map,by Richard Casey Brown,['Device Country and Postal Code'],c,Weather,Weather,,No customer reviews,,Free to Enable
Take Me Fishing,by Rec. Boating &amp;amp; Fishing Foundation,"['Device Address', 'Mobile Number']",c,Weather,Weather,,,2.5 out of 5 stars,Free to Enable
Vietnam weather,by My Tom,['Device Country and Postcode'],c,Weather,Weather,,No customer reviews,,Free to Enable
Weather Girl,by DanBloy,['Device Address'],c,Weather,Weather,,,1.0 out of 5 stars,Free to Enable
weatherology∞,"by Weatherology Mobile, LLC",['Device Country and Postal Code'],c,Weather,Weather,,No customer reviews,,Free to Enable
Weatherproof - Weather & Clothes,by Dr. Alexander Rieger,['Device Country and Postcode'],c,Weather,Weather,Account linking available,,4.1 out of 5 stars,Free to Enable
Wheezy Breezy,by Andrew Cargill,['Device Address'],c,Weather,Weather,,No customer reviews,,Free to Enable
Wind Speed,by DAGNabit,['Device Address'],c,Weather,Weather,,,5.0 out of 5 stars,Free to Enable
Zyrtec – Your Daily AllergyCast,by Johnson & Johnson,['Device Country and Postal Code'],c,Weather,Weather,,,,4.0 out of 5 stars
Beer Scout,by Seftech Solutions,"['Device Country and Postcode', 'Location Services']",c,Wine & Beverages,Wine & Beverages,,No customer reviews,,
Bellfield Brewery Beer Finder,by Bellfield Brewery,['Device Country and Postcode'],c,Wine & Beverages,Wine & Beverages,,,1.0 out of 5 stars,Free to Enable
What Cocktail,by cuirl,"['Lists Write Access', 'Lists Read Access']",c,Wine & Beverages,Wine & Beverages,,,5.0 out of 5 stars,Free to Enable
AccentureFit,by John Patrick Dizon,"['Lists Read Access', 'Lists Write Access']",c,,,,,,
AccuWeather,by AccuWeather,"['Device Address', 'Alexa Notifications']",c,,,,,,
Acqua di Parma,by Acqua di Parma,"['Device Address', 'Full Name', 'Email Address']",c,,,,,,
Agile Octopus Timing,by Ian Smith,['Device Country and Postcode'],c,,,,,,
Air Charter Amy,by Scormi UX Lab,"['First Name', 'Email Address']",c,,,,,,
Albany Real Estate ,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Alcidae Smart Life,by 徐波 ,['Device Country and Postal Code'],c,,,,,,
And Today Is,by Cornelius Behrend,['Device Country and Postal Code'],c,,,,,,
Apex Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Ask the Estate Agent ,by Liberty Gate , ['Device Address'],c,,,,,,
Atlanta Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Back to back words - vocabulary and spelling,by BlayaClub,['Device Country and Postal Code'],c,,,,,,
Bike Parking Belfast ,by ComicSerfs , ['Location Services'],c,,,,,,
Bin Day__ Stratford-upon-Avon ,by Philip How,['Device Address'],c,,,,,,
Bird Counter,by jfataphd,['Email Address'],c,,,,,,
Boulder Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Brain Fart,by Tyler Hamilton,['Full Name'],c,,,,,,
British Heart Foundation ,by British Heart Foundation ," ['Device Country and Postcode', 'Email Address', 'Amazon Pay']",c,,,,,,
British Red Cross ,by British Red Cross , ['Amazon Pay'],c,,,,,,
Brizo,by Brizo Kitchen and Bath Company, ['Device Address'],c,,,,,,
Buckinghamshire Council Self-Service ,by Aylesbury Vale , ['Device Address'],c,,,,,,
Buffalo Real Estate,by Voiceter Pro Inc, ['Device Address'],c,,,,,,
Bupa,by Bupa,['Device Country and Postcode'],c,,,,,,
Capital,by Global,['Device Country and Postal Code'],c,,,,,,
Capital Pet ,by Voiceter Pro Inc,['Device Country and Postal Code'],c,,,,,,
Capital Realtors,by Voiceter Pro Inc,['Device Country and Postal Code'],c,,,,,,
Capital XTRA,by Global,['Device Country and Postal Code'],c,,,,,,
car2go ,by car2go Group GmbH,['Device Address'],c,,,,,,
Cary Real Estate,by voiceter Pro Inc,['Device Address'],c,,,,,,
Chapel Hill Real Estate,by voiceter Pro Inc,['Device Address'],c,,,,,,
Christmas Music Countdown,by Sony Music Entertainment,['Device Country and Postal Code'],c,,,,,,
City of Raleigh,by City of Raleigh,['Device Address'],c,,,,,,
Cloud Height ,by Sean Sheedy , ['Device Country and Postcode'],c,,,,,,
Codeforces contests,by sukeesh,['Device Country and Postal Code'],c,,,,,,
College Talk,by Don Hoellein,['Device Country and Postal Code'],c,,,,,,
Contiki__ Pack My Bags,by Contiki,"['Email Address', 'Lists Read Access', 'Lists Write Access']",c,,,,,,
Cyngor Wrecsam__Wrexham Council,by SparksSoft,['Device Address'],c,,,,,,
Daytona Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Denny's,by Dennys,['Device Address'],c,,,,,,
Denver Nuggets,by NBA,['Device Country and Postal Code'],c,,,,,,
Digital Clinic ,by Hexaware Technologies , ['Device Address'],c,,,,,,
Dinspiration,by Mars Food UK,"['Lists Read Access', 'Lists Write Access']",c,,,,,,
Doncaster Council ,by Doncaster Council ," ['Device Address', 'First Name']",c,,,,,,
DriveNow Car Club,by DriveNow GmbH & Co. KG,'Device Address'],c,,,,,,
DriveNow Carsharing,by DriveNow GmbH & Co. KG,'Device Address'],c,,,,,,
Earth Saver,by ASU Cronkite School,['Device Country and Postal Code'],c,,,,,,
Eco Challenge ,by FX Digital , ['Email Address'],c,,,,,,
Estate,by voiceter Pro Inc,['Device Address'],c,,,,,,
Eureka Addons,by Eureka Solutions,['Device Address'],c,,,,,,
Every Day Nutrition (by Special K),by Kelloggs.com,"['Lists Read Access', 'Lists Write Access']",c,,,,,,
Evo Car Share,by BCAA ,['Device Country and Postal Code'],c,,,,,,
FAIRWINDS Credit Union,"by Abe AI, Inc.",['Device Address'],c,,,,,,
Fantastic Services,by 1st Online Solutions Ltd.,['Device Address'],c,,,,,,
Food Network,"by Scripps Networks, LLC",['Email Address'],c,,,,,,
Fort Myers Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Garden helper,by ELH Apps,['Device Country and Postcode'],c,,,,,,
Goldsboro Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Good Housekeeping,by Hearst,"['Lists Read Access', 'Lists Write Access']",c,,,,,,
Good Vibes,by Penguin Random House LLC,['Email Address'],c,,,,,,
Got Trash__,by Cashew,['Device Address'],c,,,,,,
Great Christmas Treasure__ Story Theater Enabled ,by Richard Carlson,"['Lists Read Access', 'Lists Write Access']",c,,,,,,
Health Hacks by Special K,by Kelloggs.com,"['Lists Read Access', 'Lists Write Access']",c,,,,,,
Heart,by Global,['Device Country and Postal Code'],c,,,,,,
Heart 80s,by Global,['Device Country and Postal Code'],c,,,,,,
Heart Extra,by Global,['Device Country and Postal Code'],c,,,,,,
Homes 4 Sale,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Hood Chat,by Max Pukhalevych,"['Device Country and Postal Code', 'First Name', 'Email Address']",c,,,,,,
How Far,by Goldin Evgeny,['Device Country and Postal Code'],c,,,,,,
How's the Weather__,"by Jeybee, LLC",['Device Address'],c,,,,,,
Hurricane Help,by Raghav,['Device Address'],c,,,,,,
IEEE Xplore Search,by IEEE,"['Lists Read Access', 'Lists Write Access']",c,,,,,,
Indeed Job Search,"by Indeed, Inc.",['Device Country and Postal Code'],c,,,,,,
Institut AranÃ©s ,by Institut AranÃ©s ," ['Device Address', 'Email Address']",c,,,,,,
Institut Aranés,by Institut Aranés,"['Device Address', 'Email Address']",c,,,,,,
Interflora ,by Interflora British Unit ," ['Amazon Pay', 'Full Name', 'Email Address', 'Mobile Number']",c,,,,,,
InYourArea ,by InYourArea , ['Device Country and Postcode'],c,,,,,,
Islam,by Peace Through Understanding,"['Device Country and Postal Code', 'Reminders']",c,,,,,,
Johnston County Real Estate ,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Just Weather Alerts,by trebleA32,['Device Country and Postal Code'],c,,,,,,
Kansas City Homes,by voiceter Pro Inc,['Device Address'],c,,,,,,
Kerr Lake Real Estate,by voiceter Pro Inc,['Device Address'],c,,,,,,
Kicks 96,by Brewer Media,['Device Country and Postal Code'],c,,,,,,
Knowmail,by Knowmail,['Device Country and Postal Code'],c,,,,,,
KWIL for Christ,by AdvanceNet Labs,"['Lists Read Access', 'Device Country and Postal Code']",c,,,,,,
Lady Valet Dry Cleaners ,by Emitrr.com ," ['Email Address', 'Full Name', 'Mobile Number', 'Device Address']",c,,,,,,
Lake Gaston Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
LBC,by Global,['Device Country and Postal Code'],c,,,,,,
London Theatre Direct ,by London Theatre Direct ," ['Device Address', 'Amazon Pay']",c,,,,,,
Mastering Python Networking Facts,by Network Automation Nerds LLC.,['Device Country and Postal Code'],c,,,,,,
Met Office ,by Met Office Informatics Lab , ['Device Country and Postcode'],c,,,,,,
Milkbasket,by Aaidea Solutions Private Ltd,"['Lists Read Access', 'Lists Write Access', 'Device Address']",c,,,,,,
Moody Radio,by Moody Bible Institute,['Device Country and Postal Code'],c,,,,,,
MotherEarth ,by IIT Roorkee , ['Device Address'],c,,,,,,
My Cooler ,by Neha Javalagi , ['Device Address'],c,,,,,,
My Home Value,by Voiceter Pro Inc,['Device Address'],c,,,,,,
MyPetDoc,"by Vet24seven, Inc.",['Amazon Pay'],c,,,,,,
Naples Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
NSPCC ,by NSPCC , ['Amazon Pay'],c,,,,,,
Ocado,by Ocado Ltd ,['Lists Read Access'],c,,,,,,
Ohio Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Ok Alone ,by Order Wizard , ['Device Address'],c,,,,,,
Personality Test (Tell the real you),"by Accela,Inc.","['Lists Read Access', 'Lists Write Access']",c,,,,,,
Pinehurst Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
pizza source,by Orderbotz,['Device Address'],c,,,,,,
Pollen Count,by Barry John Williams,['Device Address'],c,,,,,,
Radio X,by Global,['Device Country and Postal Code'],c,,,,,,
Raleigh Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
REAL RELAX ,by ç¼ªæ™“å¿  , ['Device Address'],c,,,,,,
Recycle locator ,by Michael Berry , ['Device Country and Postcode'],c,,,,,,
RingGo Parking ,by RingGo , ['Location Services'],c,,,,,,
San Francisco Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
sathyavk facts,by Krrish,"['Lists Read Access', 'Device Address', 'Lists Write Access']",c,,,,,,
sites you must know ,by Voice It Right , ['Device Country and Postal Code'],c,,,,,,
Sleep Right ,by Cloudlands Dev , ['Device Country and Postal Code'],c,,,,,,
Smart Home G4,by 胡瀚淳,"['Lists Read Access', 'Device Address', 'Lists Write Access']",c,,,,,,
Smooth Extra,by Global,['Device Country and Postal Code'],c,,,,,,
Smooth Radio,by Global,['Device Country and Postal Code'],c,,,,,,
South Staffs Water ,by South Staffs Water , ['Device Country and Postcode'],c,,,,,,
Staten Island Real Estate,by Voiceter Pro Inc,['Device Address'],c,,,,,,
Stone Temple,by Stone Temple Consulting,['Lists Read Access'],c,,,,,,
Tenda WiFi ,by æ·±åœ³å¸‚å‰ç¥¥è…¾è¾¾ç§‘æŠ€æœ‰é™å…¬å¸ ," ['Lists Read Access', 'Lists Write Access']",c,,,,,,
Tide Info ,by steverdunn , ['Device Country and Postcode'],c,,,,,,
Veet Assistant ,by Veet , ['Lists Write Access'],c,,,,,,
Who is my MP ,by Adam Jones , ['Device Country and Postcode'],c,,,,,,
You Are The Media ,by Veeheister , ['Email Address'],c,,,,,,
Zunpulse ,"by ZunRoof Pvt, Ltd ", ['Email Address'],c,,,,,,
Koffee Kult,by Koffee Kult,"['Email Address', 'Amazon Pay']",c,Shopping,Shopping,,No customer reviews,3.0 out of 5 stars,Free to Enable
Los500Quintos,by Chemels,"['First Name', 'Lists Read Access', 'Lists Write Access']",b,Games & Trivia,Games,Account linking available,,5.0 out of 5 stars,Free to Enable
Registro de Glucemia,by miplaneta.com,['Email Address'],b,Health & Fitness,Health & Fitness,,No customer reviews,,Free to Enable
Registro de TensiÛn Arterial,by miplaneta.com,['Email Address'],b,Health & Fitness,Health & Fitness,,,3.3 out of 5 stars,Free to Enable
BILH Staff Chatbot,by BIDMC,"['Device Country and Postal Code', 'Full Name', 'Email Address', 'Mobile Number', 'Reminders', 'Location Services', 'Timers']",p,Business & Finance,Business & Finance,,No customer reviews,2.3 out of 5 stars,Free to Enable
BMO,by BMO,['Device Country and Postal Code'],p,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Eastern Bank,by Eastern Bank,"['Device Address', 'Location Services']",p,Business & Finance,Business & Finance,,,3.8 out of 5 stars,Free to Enable
First Abilene FCU,by First Abilene FCU,['Device Address'],p,Business & Finance,Business & Finance,,Account linking required,No customer reviews,
Intelligence Node in suite,by Intelligencenode,"['Device Address', 'Lists Read Access']",p,Business & Finance,Business & Finance,,No customer reviews,3.3 out of 5 stars,Free to Enable
Krieger,by Krieger & Company Inc.,['Device Country and Postcode'],p,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
My Real Estate Advisor,by Voicebiz Technologies,['Device Country and Postal Code'],p,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Nationwide,by Nationwide Insurance Co,"['Device Address', 'Email Address', 'Location Services']",p,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
Nimble Storage,by ClubMeyer,"['Full Name', 'Email Address', 'Mobile Number']",p,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
Proximilator,by Proximity Worldwide Limited,"['Device Address', 'Location Services']",p,Business & Finance,Business & Finance,Account linking required,No customer reviews,4.0 out of 5 stars,Free to Enable
RIVA- Reliance General Insurance,by RGICL,"['Device Address', 'Lists Read Access']",p,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
SpeakToClock,by SpeakToClock,"['Alexa Notifications', 'Device Address', 'Full Name', 'Email Address', 'Mobile Number']",p,Business & Finance,Business & Finance,,,3.3 out of 5 stars,Free to Enable
Starfish Local,by Rai Integration Ltd,['Device Address'],p,Business & Finance,Business & Finance,Account linking required,,5.0 out of 5 stars,Free to Enable
Survey Spring,by CloudSage.AI,"['Device Country and Postal Code', 'Email Address']",p,Business & Finance,Business & Finance,,Account linking available,No customer reviews,
TELUS,by TELUS,"['Alexa Notifications', 'Device Country and Postal Code']",p,Business & Finance,Business & Finance,,,3.5 out of 5 stars,
TIAA,by TIAA,['Device Country and Postal Code'],p,Business & Finance,Business & Finance,Account linking required,,2.5 out of 5 stars,Free to Enable
Uncle Sam,by Valor Media,['Device Address'],p,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
West Suffolk Bin Day,by gavcom,"['Device Address', 'Reminders']",p,Calendars & Reminders,Calendars & Reminders,,,4.1 out of 5 stars,Free to Enable
AAA Road Service,by AAA,"['Device Address', 'Location Services']",p,Connected Car,Connected Car,,,5.0 out of 5 stars,Free to Enable
Parkbob - Parking Made Easy,by Parkbob,"['Device Country and Postal Code', 'Location Services']",p,Connected Car,Connected Car,,No customer reviews,2.8 out of 5 stars,Free to Enable
Urgent.ly,by Urgent.ly,"['Device Address', 'First Name', 'Mobile Number', 'Amazon Pay', 'Location Services']",p,Connected Car,Connected Car,Account linking available,No customer reviews,,Free to Enable
Sub Day,by Andrew Tech,['Device Address'],p,Delivery & Takeout,Delivery & Takeout,,,2.4 out of 5 stars,Free to Enable
Irish Post,by Cation Dynamics Ltd,['Device Country and Postcode'],p,Device Tracking,Device Tracking,Account linking required,No customer reviews,,Free to Enable
AI (Artificial Intelligence) Facts,by rbashish,['Device Address'],p,Education & Reference,Education & Reference,,,2.9 out of 5 stars,Free to Enable
Artificial Intelligence (AI) Facts,by rbashish,['Device Address'],p,Education & Reference,Education & Reference,,,2.4 out of 5 stars,Free to Enable
Book mate,by The Cloud Hub,['Device Address'],p,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Boston Info,by City of Boston,"['Device Address', 'Location Services']",p,Education & Reference,Education & Reference,,,2.2 out of 5 stars,Free to Enable
Bulldog Cafe,by Michael Kocher,['Device Address'],p,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Celestial Pro,by Cloudlands Dev,['Device Country and Postal Code'],p,Education & Reference,Education & Reference,,,,4.3 out of 5 stars
City of Palm Coast,by city of palm coast,['Device Address'],p,Education & Reference,Education & Reference,,,3.1 out of 5 stars,Free to Enable
Connect the Dots,by Voice2Biz,"['First Name', 'Email Address']",p,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
emPOWER AI,by CTAC,"['Device Country and Postal Code', 'Location Services']",p,Education & Reference,Education & Reference,,,3.9 out of 5 stars,Free to Enable
flight level - An aircraft radar,by O. Schafer,['Device Country and Postal Code'],p,Education & Reference,Education & Reference,,,3.0 out of 5 stars,Free to Enable
Good Deeds,by 512Labs,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number']",p,Education & Reference,Education & Reference,,,No customer reviews,5.0 out of 5 stars
GRE Vocabulary,by QuickSoftPro,['Device Address'],p,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
ISS Radar,by Waldeck.dev,"['Device Address', 'Location Services']",p,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
mic teacher english,by widz tech,"['Email Address', 'Full Name', 'Device Country and Postal Code']",p,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
mic teacher quizer,by widz tech,"['Device Country and Postal Code', 'Full Name', 'Email Address']",p,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
MortgageSpeech,by MortgageSpeech,"['Alexa Notifications', 'Device Address', 'Full Name', 'Email Address', 'Mobile Number']",p,Education & Reference,Education & Reference,,,3.9 out of 5 stars,Free to Enable
Sun Buddy,by O. Schafer,['Device Country and Postal Code'],p,Education & Reference,Education & Reference,"

Account linking required

    ",No Customers Reviews,No customer Ratings,Free to Enable
Thingee Call Notes,by Thingee,['Email Address'],p,Education & Reference,Education & Reference,,,2.6 out of 5 stars,Free to Enable
Thingee Tech Talk,by Thingee,"['Full Name', 'Mobile Number', 'Email Address']",p,Education & Reference,Education & Reference,,,No customer reviews,5.0 out of 5 stars
UK Pollen Levels,by O. Schafer,['Device Country and Postal Code'],p,Education & Reference,Education & Reference,"

Account linking required

    ",No Customers Reviews,No customer Ratings,Free to Enable
Voting Info,"by Democracy Works, Inc.",['Device Address'],p,Education & Reference,Education & Reference,,,No customer reviews,
My wardrobe,by Imagine a lady,['Device Address'],p,Fashion & Style,Fashion & Style,,,2.5 out of 5 stars,Free to Enable
Running Outfit Advisor,by CraftyC,['Device Country and Postcode'],p,Fitness & Sports,Exercise & Workout,Account linking required,No customer reviews,,Free to Enable
Chuck Knows Beef,by Beef. Itís Whatís For Dinner.,['Location Services'],p,Food & Drink,Cooking & Recipes,,,,4.1 out of 5 stars
Sanjeev Kapoor Recipes,by Sanjeev Kapoor's FoodFood,"['Device Country and Postcode', 'Lists Read Access', 'Lists Write Access', 'Reminders', 'Alexa Notifications']",p,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
Tata Sampann Recipes,by IOK Labs Inc.,"['Device Country and Postal Code', 'Lists Read Access', 'Lists Write Access', 'Reminders', 'Alexa Notifications']",p,Food & Drink,Cooking & Recipes,,,3.0 out of 5 stars,Free to Enable
4mates,by PentaTech,"['Given Name', 'Email Address']",p,Food & Drink,Delivery & Takeout,,No customer reviews,,Free to Enable
Custom Cuisine,by Orderbotz,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number', 'Amazon Pay', 'Location Services']",p,Food & Drink,Delivery & Takeout,,,5.0 out of 5 stars,Free to Enable
diedrich espresso,by Zammo,['Location Services'],p,Food & Drink,Delivery & Takeout,,No customer reviews,,Free to Enable
Fazoli's,by Orderscape,['Device Address'],p,Food & Drink,Delivery & Takeout,,,5.0 out of 5 stars,Free to Enable
Kotipizza,by Kotipizza Group Oyj,['Device Address'],p,Food & Drink,Delivery & Takeout,,,2.0 out of 5 stars,Free to Enable
AAA Restaurants,by AAA,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
Bar Finder,by Neil Stewart,['Device Country and Postcode'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,5.0 out of 5 stars,Free to Enable
City Guide,by MaxWolffe,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,
Edmonds Attractions,by H25inc,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,1.0 out of 5 stars,Free to Enable
Lunch Fox,by Southern Made,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
Meal Wheel,by Not Inept Productions,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,
"Mimi, the Hipster Cat Bot",by Barbara Ondrisek,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,,4.9 out of 5 stars,Free to Enable
Polly's restaurant roulette,by Ulimi,['Location Services'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,,5.0 out of 5 stars,Free to Enable
Random Restaurant,by Nathan Orick,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,,,
Restaurant Roulette,by dlevine.us,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
Restaurant Search,by Tea Club,['Device Address'],p,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
BeerSonar,by Prestomation,['Device Country and Postal Code'],p,Food & Drink,Wine & Beverages,Account linking required,No customer reviews,,Free to Enable
Good Doob cannabis shops and weed strains search,by Shawn Lawyer,"['Device Address', 'Location Services']",p,Food & Drink,Wine & Beverages,,No customer reviews,,Free to Enable
Wine Library,by VaynerMedia,['Device Country and Postal Code'],p,Food & Drink,Wine & Beverages,,No customer reviews,,Free to Enable
Void Warper - A sci-fi adventure game,by Aloud.tech & River Horse Games,"['Email Address', 'First Name']",p,Games,Games,Account linking required,No customer reviews,,Free to Enable
Biggest Fan,by Aawaz,"['Full Name', 'Email Address', 'Mobile Number', 'Reminders']",p,Games & Trivia,Games,,No customer reviews,,Free to Enable
BrainPickers! 2000's Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,5.0 out of 5 stars
BrainPickers! 2010's Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! 60's Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! 70's Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,,2.3 out of 5 stars
BrainPickers! 80's Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! 90's Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Christmas Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Country Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,5.0 out of 5 stars
BrainPickers! Dance Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Guess The Animal,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Guess The Footballer,by Geekycoders,['Given Name'],p,Games & Trivia,Games,,,3.9 out of 5 stars,Free to Enable
BrainPickers! Guess The Footballer (Soccer),by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,1.0 out of 5 stars
BrainPickers! Guess The Hollywood Star,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Guess The Movie,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,,3.4 out of 5 stars
BrainPickers! Guess The TV Show,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,4.0 out of 5 stars
BrainPickers! Hip-Hop Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Jazz Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Love Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Pop Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
BrainPickers! Reggae Song Challenge,by Geekycoders,['First Name'],p,Games & Trivia,Games,,,No customer reviews,
